col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17
31,4,0,甩卖一座城市,进入需要甩卖的车站，打开界面下方“车站管理”，点击甩卖车站即可完成任务。,1,19,0,0,0,0,0,0,0,9,10,5696,
32,4,9,购买一个韶山9客货型底盘,点击游戏下方的“大卖场”图标，选择“火车零件”页签，购买“韶山9客货型底盘”，即可完成任务。,1,3,105,0,0,0,0,0,0,9,10,5691,
33,4,0,参加天梯赛,首先个人等级达到10级后，在界面左侧，点选“天梯赛”按钮，点击界面中的“报名”按钮，等待天梯赛开始即可。如先报名再接到次任务，只需在点击一次报名参加天梯赛即可完成！,1,9,0,0,0,0,0,0,0,9,10,5691,
34,4,8,铁路大亨之路9：挑战BOSS,在地图界面中选择相邻地区的BOSS，点击挑战按钮即可开始挑战，发车收益达到目标即可战胜BOSS，战胜BOSS后可以购买这个地区的城市。发车收益累计60000金币即可战胜BOSS。,60000,0,0,0,0,0,0,0,0,9,10,5709,
35,4,0,参加联盟,首先个人等级达到10级后，在界面右侧，点选“火车联盟”按钮，在列表中找到要加入的联盟，点击“申请”按钮，等待该联盟的联盟长批准后即可。,1,8,0,0,0,0,0,0,0,10,11,5696,
36,4,9,购买一个韶山9客货型车厢,点击游戏下方的“大卖场”图标，选择“火车零件”页签，购买“韶山9客货型车厢”，即可完成任务。,1,3,104,0,0,0,0,0,0,10,11,5685,
37,4,8,铁路大亨之路10：挑战BOSS,在地图界面中选择相邻地区的BOSS，点击挑战按钮即可开始挑战，发车收益达到目标即可战胜BOSS，战胜BOSS后可以购买这个地区的城市。发车收益累计80000金币即可战胜BOSS。,80000,0,0,0,0,0,0,0,0,10,11,5717,
38,4,3,购买1个3星城市,购买一个3星城市即可完成任务，3城市可以停靠所有星级的机车，购买车站页面和车站内左上角都会显示车站星级。,1,3,0,0,0,0,0,0,0,11,12,5694,
39,4,9,购买一个韶山9客货型车头,点击游戏下方的“大卖场”图标，选择“火车零件”页签，购买“韶山9客货型车头”，即可完成任务。,1,3,106,0,0,0,0,0,0,11,12,5692,
40,4,8,铁路大亨之路11：挑战BOSS,在地图界面中选择相邻地区的BOSS，点击挑战按钮即可开始挑战，发车收益达到目标即可战胜BOSS，战胜BOSS后可以购买这个地区的城市。发车收益累计100000金币即可战胜BOSS。,100000,0,0,0,0,0,0,0,0,11,12,5687,
41,4,0,升级1次车站,点击游戏下方的“运行图”图标，进入地图界面，选择现有的城市，点击“升级”按钮，即可升级车站。升级车站可以增加中转量和客流量,1,5,0,0,0,0,0,0,0,12,13,5689,
42,4,9,购买一个韶山9客货型图纸,点击游戏下方的“大卖场”图标，选择“火车零件”页签，购买“韶山9客货型图纸”，即可完成任务。,1,3,107,0,0,0,0,0,0,12,13,5694,
43,4,8,铁路大亨之路12：挑战BOSS,在地图界面中选择相邻地区的BOSS，点击挑战按钮即可开始挑战，发车收益达到目标即可战胜BOSS，战胜BOSS后可以购买这个地区的城市。发车收益累计150000金币即可战胜BOSS。,150000,0,0,0,0,0,0,0,0,12,13,5718,
44,4,0,升级1次机车,"首先需要个人等级达到4级，然后进入到有机车停靠车站内，在界面右下角点击“火车性能”按钮,在界面内点击“改进”按钮，即可升级火车",1,4,0,0,0,0,0,0,0,13,14,5692,
45,4,0,组装一辆韶山9客货型机车,收集齐组装机车的4个零件后，进入车站内，点击“仓库”图标，选择“零件”页签，点击“组装”按钮，找到韶山9客货型机车组装成功即可完成任务,1,7,27,0,0,0,0,0,0,13,14,5694,
46,4,8,铁路大亨之路13：挑战BOSS,在地图界面中选择相邻地区的BOSS，点击挑战按钮即可开始挑战，发车收益达到目标即可战胜BOSS，战胜BOSS后可以购买这个地区的城市。发车收益累计200000金币即可战胜BOSS。,200000,0,0,0,0,0,0,0,0,13,14,5685,
47,4,0,甩卖一座城市,进入需要甩卖的车站，打开界面下方“车站管理”，点击甩卖车站即可完成任务。,1,19,0,0,0,0,0,0,0,14,15,5693,
48,4,3,购买一个三星城市,购买一个3星城市即可完成任务，3城市可以停靠所有星级的机车，购买车站页面和车站内左上角都会显示车站星级。,1,3,0,0,0,0,0,0,0,14,15,5693,
49,4,8,铁路大亨之路14：挑战BOSS,在地图界面中选择相邻地区的BOSS，点击挑战按钮即可开始挑战，发车收益达到目标即可战胜BOSS，战胜BOSS后可以购买这个地区的城市。发车收益累计250000金币即可战胜BOSS。,250000,0,0,0,0,0,0,0,0,14,15,5703,
50,4,0,甩卖一座城市,进入需要甩卖的车站，打开界面下方“车站管理”，点击甩卖车站即可完成任务。,1,19,0,0,0,0,0,0,0,15,16,5695,
51,4,3,购买一个三星城市,购买一个3星城市即可完成任务，3城市可以停靠所有星级的机车，购买车站页面和车站内左上角都会显示车站星级。,1,3,0,0,0,0,0,0,0,15,16,5695,
52,4,8,铁路大亨之路15：挑战BOSS,在地图界面中选择相邻地区的BOSS，点击挑战按钮即可开始挑战，发车收益达到目标即可战胜BOSS，战胜BOSS后可以购买这个地区的城市。发车收益累计350000金币即可战胜BOSS。,350000,0,0,0,0,0,0,0,0,15,16,5703,
53,4,3,购买一个三星城市,购买一个3星城市即可完成任务，3城市可以停靠所有星级的机车，购买车站页面和车站内左上角都会显示车站星级。,1,3,0,0,0,0,0,0,0,16,17,5695,
54,4,4,运输一个点券客货,车站内有几率刷新出绿色名字的客货，运输这些客货到目的地即可完成任务，运输绿色名字的客货可以获得点券，每天绿色客货的数量是有限的，刷完当天将不会出现，每天0点重置,1,8,0,0,0,0,0,0,0,16,17,5695,
55,4,8,铁路大亨之路16：挑战BOSS,在地图界面中选择相邻地区的BOSS，点击挑战按钮即可开始挑战，发车收益达到目标即可战胜BOSS，战胜BOSS后可以购买这个地区的城市。发车收益累计450000金币即可战胜BOSS。,450000,0,0,0,0,0,0,0,0,16,17,5703,
56,4,9,购买一个中华之星客货型底盘,点击游戏下方的“大卖场”图标，选择“火车零件”页签，购买“中华之星客货型底盘”，即可完成任务。,1,3,153,0,0,0,0,0,0,17,18,5695,
57,4,4,运输一个点券客货,车站内有几率刷新出绿色名字的客货，运输这些客货到目的地即可完成任务，运输绿色名字的客货可以获得点券，每天绿色客货的数量是有限的，刷完当天将不会出现，每天0点重置,1,8,0,0,0,0,0,0,0,17,18,5695,
58,4,8,铁路大亨之路17：挑战BOSS,在地图界面中选择相邻地区的BOSS，点击挑战按钮即可开始挑战，发车收益达到目标即可战胜BOSS，战胜BOSS后可以购买这个地区的城市。发车收益累计550000金币即可战胜BOSS。,550000,0,0,0,0,0,0,0,0,17,18,5703,
59,4,9,购买一个中华之星客货型车厢,点击游戏下方的“大卖场”图标，选择“火车零件”页签，购买“中华之星客货型车厢”，即可完成任务。,1,3,152,0,0,0,0,0,0,18,19,5695,
60,4,4,运输一个点券客货,车站内有几率刷新出绿色名字的客货，运输这些客货到目的地即可完成任务，运输绿色名字的客货可以获得点券，每天绿色客货的数量是有限的，刷完当天将不会出现，每天0点重置,1,8,0,0,0,0,0,0,0,18,19,5695,
61,4,8,铁路大亨之路18：挑战BOSS,在地图界面中选择相邻地区的BOSS，点击挑战按钮即可开始挑战，发车收益达到目标即可战胜BOSS，战胜BOSS后可以购买这个地区的城市。发车收益累计650000金币即可战胜BOSS。,650000,0,0,0,0,0,0,0,0,18,19,5695,
62,4,9,购买一个中华之星客货型车头,点击游戏下方的“大卖场”图标，选择“火车零件”页签，购买“中华之星客货型车头”，即可完成任务。,1,3,154,0,0,0,0,0,0,19,20,5695,
63,4,4,运输一个点券客货,车站内有几率刷新出绿色名字的客货，运输这些客货到目的地即可完成任务，运输绿色名字的客货可以获得点券，每天绿色客货的数量是有限的，刷完当天将不会出现，每天0点重置,1,8,0,0,0,0,0,0,0,19,20,5695,
64,4,8,铁路大亨之路19：挑战BOSS,在地图界面中选择相邻地区的BOSS，点击挑战按钮即可开始挑战，发车收益达到目标即可战胜BOSS，战胜BOSS后可以购买这个地区的城市。发车收益累计800000金币即可战胜BOSS。,800000,0,0,0,0,0,0,0,0,19,20,5695,
65,4,9,购买一个中华之星客货型图纸,点击游戏下方的“大卖场”图标，选择“火车零件”页签，购买“中华之星客货型图纸”，即可完成任务。,1,3,155,0,0,0,0,0,0,20,21,5695,
66,4,4,运输一个点券客货,车站内有几率刷新出绿色名字的客货，运输这些客货到目的地即可完成任务，运输绿色名字的客货可以获得点券，每天绿色客货的数量是有限的，刷完当天将不会出现，每天0点重置,1,8,0,0,0,0,0,0,0,20,21,5695,
67,4,8,铁路大亨之路20：挑战BOSS,在地图界面中选择相邻地区的BOSS，点击挑战按钮即可开始挑战，发车收益达到目标即可战胜BOSS，战胜BOSS后可以购买这个地区的城市。发车收益累计1000000金币即可战胜BOSS。,1000000,0,0,0,0,0,0,0,0,20,21,5695,
68,4,0,组装辆一个中华之星客货型机车,收集齐组装机车的4个零件后，进入车站内，点击“仓库”图标，选择“零件”页签，点击“组装”按钮，找到中华之星客货型机车组装成功即可完成任务,1,7,39,0,0,0,0,0,0,21,22,5698,
69,4,0,升级1次机车,"首先需要个人等级达到4级，然后进入到有机车停靠车站内，在界面右下角点击“火车性能”按钮,在界面内点击“改进”按钮，即可升级火车",1,4,0,0,0,0,0,0,0,21,22,5698,
70,4,8,铁路大亨之路21：挑战BOSS,在地图界面中选择相邻地区的BOSS，点击挑战按钮即可开始挑战，发车收益达到目标即可战胜BOSS，战胜BOSS后可以购买这个地区的城市。发车收益累计1200000金币即可战胜BOSS。,1200000,0,0,0,0,0,0,0,0,21,22,5698,
71,4,9,购买一个CRH2客货型底盘,点击游戏下方的“大卖场”图标，选择“火车零件”页签，购买“CRH2客货型底盘”，即可完成任务。,1,3,177,0,0,0,0,0,0,22,23,5698,
72,4,4,运输一个点券客货,车站内有几率刷新出绿色名字的客货，运输这些客货到目的地即可完成任务，运输绿色名字的客货可以获得点券，每天绿色客货的数量是有限的，刷完当天将不会出现，每天0点重置,1,8,0,0,0,0,0,0,0,22,23,5698,
73,4,8,铁路大亨之路22：挑战BOSS,在地图界面中选择相邻地区的BOSS，点击挑战按钮即可开始挑战，发车收益达到目标即可战胜BOSS，战胜BOSS后可以购买这个地区的城市。发车收益累计1300000金币即可战胜BOSS。,1300000,0,0,0,0,0,0,0,0,22,23,5698,
74,4,9,购买一个CRH2客货型车厢,点击游戏下方的“大卖场”图标，选择“火车零件”页签，购买“CRH2客货型车厢”，即可完成任务。,1,3,176,0,0,0,0,0,0,23,24,5698,
75,4,4,运输一个点券客货,车站内有几率刷新出绿色名字的客货，运输这些客货到目的地即可完成任务，运输绿色名字的客货可以获得点券，每天绿色客货的数量是有限的，刷完当天将不会出现，每天0点重置,1,8,0,0,0,0,0,0,0,23,24,5698,
76,4,8,铁路大亨之路23：挑战BOSS,在地图界面中选择相邻地区的BOSS，点击挑战按钮即可开始挑战，发车收益达到目标即可战胜BOSS，战胜BOSS后可以购买这个地区的城市。发车收益累计1400000金币即可战胜BOSS。,1400000,0,0,0,0,0,0,0,0,23,24,5698,
77,4,9,购买一个CRH2客货型车头,点击游戏下方的“大卖场”图标，选择“火车零件”页签，购买“CRH2客货型车头”，即可完成任务。,1,3,178,0,0,0,0,0,0,24,25,5698,
78,4,4,运输一个点券客货,车站内有几率刷新出绿色名字的客货，运输这些客货到目的地即可完成任务，运输绿色名字的客货可以获得点券，每天绿色客货的数量是有限的，刷完当天将不会出现，每天0点重置,1,8,0,0,0,0,0,0,0,24,25,5698,
79,4,8,铁路大亨之路24：挑战BOSS,在地图界面中选择相邻地区的BOSS，点击挑战按钮即可开始挑战，发车收益达到目标即可战胜BOSS，战胜BOSS后可以购买这个地区的城市。发车收益累计1500000金币即可战胜BOSS。,1500000,0,0,0,0,0,0,0,0,24,25,5698,
80,4,9,购买一个CRH2客货型图纸,点击游戏下方的“大卖场”图标，选择“火车零件”页签，购买“CRH2客货型图纸”，即可完成任务。,1,3,179,0,0,0,0,0,0,25,26,5698,
81,4,4,运输一个点券客货,车站内有几率刷新出绿色名字的客货，运输这些客货到目的地即可完成任务，运输绿色名字的客货可以获得点券，每天绿色客货的数量是有限的，刷完当天将不会出现，每天0点重置,1,8,0,0,0,0,0,0,0,25,26,5698,
82,4,8,铁路大亨之路25：挑战BOSS,在地图界面中选择相邻地区的BOSS，点击挑战按钮即可开始挑战，发车收益达到目标即可战胜BOSS，战胜BOSS后可以购买这个地区的城市。发车收益累计1600000金币即可战胜BOSS。,1600000,0,0,0,0,0,0,0,0,25,26,5698,
83,4,0,组装辆一个CRH2客货型机车,收集齐组装机车的4个零件后，进入车站内，点击“仓库”图标，选择“零件”页签，点击“组装”按钮，找到CRH2客货型机车组装成功即可完成任务,1,7,45,0,0,0,0,0,0,26,27,5700,
84,4,0,升级1次机车,"首先需要个人等级达到4级，然后进入到有机车停靠车站内，在界面右下角点击“火车性能”按钮,在界面内点击“改进”按钮，即可升级火车",1,4,0,0,0,0,0,0,0,26,27,5700,
85,4,0,使用电池充电1次,点击“火车性能”图标，点击左下角“自动充电”，即可完成任务。,1,20,0,0,0,0,0,0,0,26,27,5699,
86,4,8,铁路大亨之路26：挑战BOSS,在地图界面中选择相邻地区的BOSS，点击挑战按钮即可开始挑战，发车收益达到目标即可战胜BOSS，战胜BOSS后可以购买这个地区的城市。发车收益累计1700000金币即可战胜BOSS。,1700000,0,0,0,0,0,0,0,0,26,27,5701,
87,4,0,使用司机自动发车一次,机车上装备司机后，然后点击“发车”选择路线后，点击右下角“自动发车”即可，自动发车可以无视车站客流，车上自动生成客货。,1,18,0,0,0,0,0,0,0,27,28,5686,
88,4,0,升级一次司机技能,在司机仓库或者司机岗位中，点击“技能”按钮，在点击“技能升级”按钮即可完成任务,1,21,0,0,0,0,0,0,0,27,28,5695,
89,4,0,成功开一个技能槽,在司机仓库或者司机岗位中，点击“技能”按钮，在点击“扩充技能槽”按钮即可完成任务,1,22,0,0,0,0,0,0,0,27,28,5695,
90,4,8,铁路大亨之路27：挑战BOSS,在地图界面中选择相邻地区的BOSS，点击挑战按钮即可开始挑战，发车收益达到目标即可战胜BOSS，战胜BOSS后可以购买这个地区的城市。发车收益累计3500000金币即可战胜BOSS。,3500000,0,0,0,0,0,0,0,0,28,29,5724,
91,4,8,铁路大亨之路28：挑战BOSS,在地图界面中选择相邻地区的BOSS，点击挑战按钮即可开始挑战，发车收益达到目标即可战胜BOSS，战胜BOSS后可以购买这个地区的城市。发车收益累计4500000金币即可战胜BOSS。,4500000,0,0,0,0,0,0,0,0,29,30,5725,
92,4,8,铁路大亨之路29：挑战BOSS,在地图界面中选择相邻地区的BOSS，点击挑战按钮即可开始挑战，发车收益达到目标即可战胜BOSS，战胜BOSS后可以购买这个地区的城市。发车收益累计5500000金币即可战胜BOSS。,5500000,0,0,0,0,0,0,0,0,30,31,5726,
93,4,8,铁路大亨之路30：挑战BOSS,在地图界面中选择相邻地区的BOSS，点击挑战按钮即可开始挑战，发车收益达到目标即可战胜BOSS，战胜BOSS后可以购买这个地区的城市。发车收益累计6500000金币即可战胜BOSS。,6500000,0,0,0,0,0,0,0,0,31,32,5727,
94,4,8,铁路大亨之路31：挑战BOSS,在地图界面中选择相邻地区的BOSS，点击挑战按钮即可开始挑战，发车收益达到目标即可战胜BOSS，战胜BOSS后可以购买这个地区的城市。发车收益累计10000000金币即可战胜BOSS。,10000000,0,0,0,0,0,0,0,0,32,33,5701,
95,4,8,铁路大亨之路32：挑战BOSS,在地图界面中选择相邻地区的BOSS，点击挑战按钮即可开始挑战，发车收益达到目标即可战胜BOSS，战胜BOSS后可以购买这个地区的城市。发车收益累计20000000金币即可战胜BOSS。,20000000,0,0,0,0,0,0,0,0,33,34,5712,
96,4,8,铁路大亨之路33：挑战BOSS,在地图界面中选择相邻地区的BOSS，点击挑战按钮即可开始挑战，发车收益达到目标即可战胜BOSS，战胜BOSS后可以购买这个地区的城市。发车收益累计30000000金币即可战胜BOSS。,30000000,1,0,0,0,0,0,0,0,34,35,5713,
97,4,5,拥有巴黎,巴黎位于欧洲东北部地图左上侧，购买后即可完成任务,1,3,2,501,0,0,0,0,0,35,36,5706,
98,4,0,购买一件声望商品,个人等级达到90级后，进入车站内点击“大卖场”图标，点击“声望商店”页签，购买一件声望商品即可完成任务,1,24,0,0,0,0,0,0,0,35,36,5707,
99,4,5,拥有纽约,纽约位于北美洲东南部地图最右侧，购买后即可完成任务,1,3,2,546,0,0,0,0,0,35,36,5713,
100,4,0,合成一个车队,进入车站内点击“司机车队”图标，点击“车队”页签，选择两个相同的车，点击“合成”按钮即可完成任务,1,23,0,0,0,0,0,0,0,36,0,5702,
224,1,0,发10次列车,进入车站内点击“司机车队”图标，点击“车队”页签，选择两个相同的车，点击“合成”按钮即可完成任务,10,1,0,0,0,0,0,10,16,0,0,200,"进入车站,运输旅客或货物到达目的地累计10次即可完成任务。"
225,1,0,发20次列车,我们的目标是。。。。 不是没有蛀牙，是发20次车,20,1,0,0,0,0,0,10,200,0,0,201,"进入车站,运输旅客或货物到达目的地累计20次即可完成任务。"
226,1,0,发15次列车,我们的目标是。。。。 不是没有蛀牙，是发15次车,15,1,0,0,0,0,0,17,40,0,0,202,"进入车站,运输旅客或货物到达目的地累计15次即可完成任务。"
228,1,0,发25次列车,我们的目标是。。。。 不是没有蛀牙，是发25次车,25,1,0,0,0,0,0,17,200,0,0,202,"进入车站,运输旅客或货物到达目的地累计25次即可完成任务。"
231,1,0,发30次列车,我们的目标是。。。。 不是没有蛀牙，是发30次车,30,1,0,0,0,0,0,41,200,0,0,203,"进入车站,运输旅客或货物到达目的地累计30次即可完成任务。"
232,1,4,通过发车赚取500金币,公司上半年的发展计划：一月份的盈利目标，500金币,500,7,0,0,0,0,0,10,16,0,0,200,通过运输旅客或货物赚取金币，累计达到500金币即可完成任务。
233,1,4,通过发车赚钱1000金币,公司上半年的发展计划：二月份的盈利目标，1000金币,1000,7,0,0,0,0,0,10,16,0,0,201,通过运输旅客或货物赚取金币，累计达到1000金币即可完成任务。
234,1,4,通过发车赚取2000金币,公司上半年的发展计划：三月份的盈利目标，2000金币,2000,7,0,0,0,0,0,17,40,0,0,202,通过运输旅客或货物赚取金币，累计达到2000金币即可完成任务。
235,1,4,通过发车赚取3000金币,公司上半年的发展计划：四月份的盈利目标，3000金币,3000,7,0,0,0,0,0,17,40,0,0,202,通过运输旅客或货物赚取金币，累计达到3000金币即可完成任务。
236,1,4,通过发车赚钱4000金币,公司上半年的发展计划：五月份的盈利目标，4000金币,4000,7,0,0,0,0,0,41,200,0,0,203,通过运输旅客或货物赚取金币，累计达到4000金币即可完成任务。
237,1,4,通过发车赚钱8000金币,公司上半年的发展计划：六月份的盈利目标，8000金币,8000,7,0,0,0,0,0,41,200,0,0,203,通过运输旅客或货物赚取金币，累计达到8000金币即可完成任务。
238,1,6,运输许玮10次,普罗大众中的一员,10,169,0,0,0,0,0,10,16,0,0,200,在车站内选择名字叫“许玮”旅客，成功运送10个到目的地，即可完成任务。
239,1,6,运输电脑20次,"十核处理器,完美运行“中华铁路”",20,42,0,0,0,0,0,10,200,0,0,201,在车站内选择名字叫“电脑”货物，成功运送20个到目的地，即可完成任务。
241,1,6,运输王强10次,普罗大众中的一员,10,168,0,0,0,0,0,17,200,0,0,202,在车站内选择名字叫“王强”旅客，成功运送10个到目的地，即可完成任务。
243,1,6,运输烟台苹果20次,嘎嘣脆鸡肉味,20,32,0,0,0,0,0,75,200,0,0,203,在车站内选择名字叫“烟台苹果”货物，成功运送20个到目的地，即可完成任务。
244,1,4,通过发车赚取9000金币,公司上半年的发展计划：一月份的盈利目标，9000金币,9000,7,0,0,0,0,0,10,16,0,0,200,通过运输旅客或货物赚取金币，累计达到9000金币即可完成任务。
245,1,4,通过发车赚钱10000金币,公司上半年的发展计划：二月份的盈利目标，10000金币,10000,7,0,0,0,0,0,10,16,0,0,201,通过运输旅客或货物赚取金币，累计达到10000金币即可完成任务。
246,1,4,通过发车赚取12000金币,公司上半年的发展计划：三月份的盈利目标，12000金币,12000,7,0,0,0,0,0,17,40,0,0,202,通过运输旅客或货物赚取金币，累计达到12000金币即可完成任务。
247,1,4,通过发车赚取13000金币,公司上半年的发展计划：四月份的盈利目标，13000金币,13000,7,0,0,0,0,0,17,40,0,0,202,通过运输旅客或货物赚取金币，累计达到13000金币即可完成任务。
248,1,4,通过发车赚钱14000金币,公司上半年的发展计划：五月份的盈利目标，14000金币,14000,7,0,0,0,0,0,41,200,0,0,203,通过运输旅客或货物赚取金币，累计达到14000金币即可完成任务。
249,1,4,通过发车赚钱18000金币,公司上半年的发展计划：六月份的盈利目标，18000金币,18000,7,0,0,0,0,0,41,200,0,0,203,通过运输旅客或货物赚取金币，累计达到18000金币即可完成任务。
250,1,0,查看2次大卖场,去大卖场淘货吧，每次都会有不同的收获，可能会有惊喜哦！,2,13,0,0,0,0,0,10,16,0,0,200,进入任意车站，点击“大卖场”按钮，打开界面2次即可。
251,1,0,查看5次大卖场,去大卖场淘货吧，每次都会有不同的收获，可能会有惊喜哦！,5,13,0,0,0,0,0,17,40,0,0,202,进入任意车站，点击“大卖场”按钮，打开界面5次即可。
252,1,0,查看20次大卖场,去大卖场淘货吧，每次都会有不同的收获，可能会有惊喜哦！,20,13,0,0,0,0,0,75,200,0,0,203,进入任意车站，点击“大卖场”按钮，打开界面20次即可。
